Wiki ID,Freebase ID,Movie name,Release date,Revenue,Runtime,Languages,Genres,Noms_Pays,Continent
9944484,/m/04dld6,The Battle of Algiers,1966-09-03,,121.0,"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language"", ""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/03q4nz"": ""World cinema"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film"", ""/m/03mqtr"": ""Political drama"", ""/m/03hn0"": ""Historical drama""}",Italy,Africa
34953631,/m/0j42qn1,La Fenêtre,2006-05-30,,13.0,"{""/m/02h40lc"": ""English Language""}","{""/m/02hmvc"": ""Short Film""}",Canada,Africa
26967925,/m/0bj75qd,Outside the Law,2010-09-22,,137.0,"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language""}","{""/m/03g3w"": ""History"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}",France,Africa
26967925,/m/0bj75qd,Outside the Law,2010-09-22,,137.0,"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language""}","{""/m/03g3w"": ""History"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}",Belgium,Africa
26967925,/m/0bj75qd,Outside the Law,2010-09-22,,137.0,"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language""}","{""/m/03g3w"": ""History"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}",Italy,Africa
2048925,/m/06hhqq,Othello,1952-11-19,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0fx2s"": ""Tragedy"", ""/m/04xvh5"": ""Costume drama"", ""/m/06l3bl"": ""Epic"", ""/m/01g6gs"": ""Black-and-white"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}",France,Africa
2048925,/m/06hhqq,Othello,1952-11-19,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0fx2s"": ""Tragedy"", ""/m/04xvh5"": ""Costume drama"", ""/m/06l3bl"": ""Epic"", ""/m/01g6gs"": ""Black-and-white"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}",Italy,Africa
2871613,/m/0884wb,The Jewel of the Nile,1985-12-11,96773200.0,107.0,"{""/m/0jzc"": ""Arabic Language"", ""/m/02h40lc"": ""English Language""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0hj3msd"": ""Adventure Comedy"", ""/m/01z4y"": ""Comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action""}",France,Africa
34982299,/m/0j63kl2,Tendid,2010-10-25,,15.0,{},"{""/m/02hmvc"": ""Short Film""}",France,Africa
26825116,/m/0bmc99w,White Material,2010-03-24,,106.0,"{""/m/064_8sq"": ""French Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/03mqtr"": ""Political drama"", ""/m/03q4nz"": ""World cinema"", ""/m/082gq"": ""War film""}",France,Africa
5895236,/m/0fcbjw,Days of Glory,2006-09-27,,122.0,"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language""}","{""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film""}",France,Africa
