Wiki ID,Freebase ID,Movie name,Release date,Revenue,Runtime,Languages,Genres,Noms_Pays,Continent
33495214,/m/0h95z9x,Zum Teufel mit der Penne,1968-12-12,,99.0,"{""/m/04306rv"": ""German Language""}","{""/m/05p553"": ""Comedy film""}",Germany,Europe
1031231,/m/03_wh5,"Black Cat, White Cat",1998-09-10,351447.0,135.0,"{""/m/012psb"": ""Romani language"", ""/m/02bjrlw"": ""Italian Language"", ""/m/06x8y"": ""Serbo-Croatian"", ""/m/01bkv"": ""Bulgarian Language"", ""/m/0k0sb"": ""Serbian language"", ""/m/04306rv"": ""German Language""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/01z4y"": ""Comedy"", ""/m/04rlf"": ""Music"", ""/m/0hj3mz5"": ""Comedy of Errors"", ""/m/02l7c8"": ""Romance Film"", ""/m/09q17"": ""Slapstick""}",France,Europe
1031231,/m/03_wh5,"Black Cat, White Cat",1998-09-10,351447.0,135.0,"{""/m/012psb"": ""Romani language"", ""/m/02bjrlw"": ""Italian Language"", ""/m/06x8y"": ""Serbo-Croatian"", ""/m/01bkv"": ""Bulgarian Language"", ""/m/0k0sb"": ""Serbian language"", ""/m/04306rv"": ""German Language""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/01z4y"": ""Comedy"", ""/m/04rlf"": ""Music"", ""/m/0hj3mz5"": ""Comedy of Errors"", ""/m/02l7c8"": ""Romance Film"", ""/m/09q17"": ""Slapstick""}",Yugoslavia,Europe
1031231,/m/03_wh5,"Black Cat, White Cat",1998-09-10,351447.0,135.0,"{""/m/012psb"": ""Romani language"", ""/m/02bjrlw"": ""Italian Language"", ""/m/06x8y"": ""Serbo-Croatian"", ""/m/01bkv"": ""Bulgarian Language"", ""/m/0k0sb"": ""Serbian language"", ""/m/04306rv"": ""German Language""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/01z4y"": ""Comedy"", ""/m/04rlf"": ""Music"", ""/m/0hj3mz5"": ""Comedy of Errors"", ""/m/02l7c8"": ""Romance Film"", ""/m/09q17"": ""Slapstick""}",Germany,Europe
27002888,/m/0br_wmf,La Marseillaise,1938-04-17,,140.0,"{""/m/064_8sq"": ""French Language""}","{""/m/04rlf"": ""Music"", ""/m/07s9rl0"": ""Drama"", ""/m/03hn0"": ""Historical drama"", ""/m/082gq"": ""War film""}",France,Europe
196176,/m/01bwgr,Straw Dogs,1971-11-03,11148828.0,118.0,"{""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/07s9rl0"": ""Drama""}",United Kingdom,Europe
34454683,/m/0h_92lt,"Agent 3S3, Massacre in the Sun",1966-05-20,,106.0,"{""/m/02bjrlw"": ""Italian Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/03k9fj"": ""Adventure""}",France,Europe
34454683,/m/0h_92lt,"Agent 3S3, Massacre in the Sun",1966-05-20,,106.0,"{""/m/02bjrlw"": ""Italian Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/03k9fj"": ""Adventure""}",Spain,Europe
34454683,/m/0h_92lt,"Agent 3S3, Massacre in the Sun",1966-05-20,,106.0,"{""/m/02bjrlw"": ""Italian Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/03k9fj"": ""Adventure""}",Italy,Europe
34470083,/m/0h_9kln,Rollo and the Spirit of the Woods,2001-12-21,,92.0,"{""/m/01gp_d"": ""Finnish Language""}","{""/m/0hqxf"": ""Family Film"", ""/m/01hmnh"": ""Fantasy""}",Finland,Europe
748616,/m/03813g,"Spring, Summer, Fall, Winter... and Spring",2003-08-14,9524745.0,95.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}",South Korea,Europe
748616,/m/03813g,"Spring, Summer, Fall, Winter... and Spring",2003-08-14,9524745.0,95.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}",Germany,Europe
22256486,/m/05q6jgk,A Hundred and One Nights,1995-01-25,,101.0,"{""/m/064_8sq"": ""French Language""}","{""/m/0hj3n0w"": ""Ensemble Film"", ""/m/02l7c8"": ""Romance Film"", ""/m/01z4y"": ""Comedy"", ""/m/03g3w"": ""History""}",France,Europe
22256486,/m/05q6jgk,A Hundred and One Nights,1995-01-25,,101.0,"{""/m/064_8sq"": ""French Language""}","{""/m/0hj3n0w"": ""Ensemble Film"", ""/m/02l7c8"": ""Romance Film"", ""/m/01z4y"": ""Comedy"", ""/m/03g3w"": ""History""}",United Kingdom,Europe
3179118,/m/08xfy_,I Clowns,1971-08-30,,92.0,"{""/m/02bjrlw"": ""Italian Language""}","{""/m/02n4lw"": ""Art film"", ""/m/03q4nz"": ""World cinema"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/01hmnh"": ""Fantasy"", ""/m/0jtdp"": ""Documentary""}",West Germany,Europe
15007384,/m/03h4h5p,Le Grand jeu,1934-05-02,,,"{""/m/064_8sq"": ""French Language""}","{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01g6gs"": ""Black-and-white""}",France,Europe
11692389,/m/02rp4qv,The Snow Queen,2005-12-24,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0hqxf"": ""Family Film"", ""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure""}",Canada,Europe
11692389,/m/02rp4qv,The Snow Queen,2005-12-24,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0hqxf"": ""Family Film"", ""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure""}",United Kingdom,Europe
3829646,/m/0b24ld,What Have I Done To Deserve This?,1984-10-25,,101.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/03q4nz"": ""World cinema"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/0vgkd"": ""Black comedy"", ""/m/0hj3n0k"": ""Domestic Comedy""}",Spain,Europe
