Wiki ID,Freebase ID,Movie name,Release date,Revenue,Runtime,Languages,Genres,Noms_Pays,Continent
20604092,/m/0523t_1,Anbu Thozhi,2007-08-17,,,"{""/m/07c9s"": ""Tamil Language""}","{""/m/02l7c8"": ""Romance Film""}",India,Asia
11448183,/m/02rc_h4,Bindiya Chamkegi,1984-01-20,,,"{""/m/03k50"": ""Hindi Language""}","{""/m/0hqxf"": ""Family Film"", ""/m/01z4y"": ""Comedy""}",India,Asia
29772142,/m/0fq260_,Karayilekku Oru Kadal Dooram,2010-12-31,,110.0,"{""/m/0999q"": ""Malayalam Language""}","{""/m/07s9rl0"": ""Drama""}",India,Asia
26623942,/m/0bh9fbk,Kausthubham,2010-03-19,,,"{""/m/0999q"": ""Malayalam Language""}","{""/m/07s9rl0"": ""Drama""}",India,Asia
36009421,/m/05b0lk8,Jay Vejay,1977-11-11,,152.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/03k9fj"": ""Adventure""}",India,Asia
24761154,/m/080bxrj,My Friend Ganesha,2007-07-06,,190.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/03q4nz"": ""World cinema""}",India,Asia
11996174,/m/02vlbrf,Aaj Ka Andha Kanoon,2003-06-10,,130.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/0gw5w78"": ""Gangster Film"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}",India,Asia
4300418,/m/0bvx7h,The Hero: Love Story of a Spy,2003-04-11,,182.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/03k9fj"": ""Adventure"", ""/m/03q4nz"": ""World cinema"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/02kdv5l"": ""Action"", ""/m/02wtdkf"": ""Musical Drama""}",India,Asia
24196090,/m/07k8x7p,The World of Geisha,1973-11-03,,73.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/0hj3n16"": ""Erotic Drama"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/02js9"": ""Erotica"", ""/m/03q4nz"": ""World cinema"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/01jk9n"": ""Pornographic movie"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}",Japan,Asia
17780234,/m/0479c20,Banana Club,1996-04-13,,,"{""/m/012w70"": ""Cantonese""}","{""/m/0gw5qqq"": ""Chinese Movies""}",Hong Kong,Asia
3873713,/m/0b4f1s,Lee Dae-ro Can't Die,2005-08-18,4736013.0,108.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/02kdv5l"": ""Action"", ""/m/01z4y"": ""Comedy""}",South Korea,Asia
24282217,/m/07sb8_t,The Naked Kitchen,2009-02-05,638181.0,102.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/03q4nz"": ""World cinema"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}",South Korea,Asia
1072373,/m/043j2x,Minsaara Kanavu,1997-01-14,,148.0,"{""/m/07c9s"": ""Tamil Language""}","{""/m/03q4nz"": ""World cinema"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/01chg"": ""Bollywood""}",India,Asia
12438366,/m/02w5vj3,Mehndi Waley Hath,2000-08-25,,,"{""/m/0688f"": ""Punjabi language""}","{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama""}",Pakistan,Asia
33514209,/m/0h9562r,Mud and Soldiers,1939-10-15,,120.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film""}",Japan,Asia
18066159,/m/047q7xf,The Sands of Kurobe,1968-03-01,,196.0,{},"{""/m/0gw5n2f"": ""Japanese Movies""}",Japan,Asia
19569910,/m/04n2zzq,Time of Eve,2010-03-06,,106.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/06n90"": ""Science Fiction"", ""/m/0jxy"": ""Anime"", ""/m/0gw5n2f"": ""Japanese Movies""}",Japan,Asia
36151270,/m/0k0hkgm,Agneekaal,1990-10-19,,,"{""/m/03k50"": ""Hindi Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama""}",India,Asia
20119316,/m/04yfw36,Eoudong,1985-09-28,,110.0,{},"{""/m/07s9rl0"": ""Drama""}",South Korea,Asia
6703617,/m/0gj6pd,The Forbidden Kingdom,2008-04-04,127906624.0,105.0,"{""/m/0653m"": ""Standard Mandarin"", ""/m/02h40lc"": ""English Language"", ""/m/0459q4"": ""Standard Cantonese""}","{""/m/08322"": ""Wuxia"", ""/m/0hj3n2k"": ""Fantasy Adventure"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04xvlr"": ""Period piece"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/01hmnh"": ""Fantasy"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action"", ""/m/0gw5qqq"": ""Chinese Movies""}",Hong Kong,Asia
6703617,/m/0gj6pd,The Forbidden Kingdom,2008-04-04,127906624.0,105.0,"{""/m/0653m"": ""Standard Mandarin"", ""/m/02h40lc"": ""English Language"", ""/m/0459q4"": ""Standard Cantonese""}","{""/m/08322"": ""Wuxia"", ""/m/0hj3n2k"": ""Fantasy Adventure"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04xvlr"": ""Period piece"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/01hmnh"": ""Fantasy"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action"", ""/m/0gw5qqq"": ""Chinese Movies""}",China,Asia
29174042,/m/0dlm0sz,Toll Booth,2010-10-09,,97.0,"{""/m/02hwyss"": ""Turkish Language""}","{""/m/07s9rl0"": ""Drama""}",Turkey,Asia
30353952,/m/0g5rqxx,Hababam Sınıfı Tatilde,1977-01-01,,90.0,{},"{""/m/05p553"": ""Comedy film""}",Turkey,Asia
14543900,/m/03d76w1,Raju Chacha,2000-12-20,,,"{""/m/03k50"": ""Hindi Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",India,Asia
35567084,/m/0j9n5v7,I AM.,2012-05-15,,130.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/0jtdp"": ""Documentary""}",South Korea,Asia
21618909,/m/05m_4m6,Barah Aana,2009-03-20,,97.0,"{""/m/03k50"": ""Hindi Language"", ""/m/02h40lc"": ""English Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",India,Asia
20553214,/m/051yg_8,Mon Mane Na,2008-12-05,,,"{""/m/01c7y"": ""Bengali Language""}","{""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",India,Asia
12490207,/m/02w8rhv,Over the Rainbow,2002-05-17,2549834.0,109.0,"{""/m/02hwhyv"": ""Korean Language"", ""/m/012w70"": ""Cantonese""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/01jfsb"": ""Thriller"", ""/m/03q4nz"": ""World cinema"", ""/m/07s9rl0"": ""Drama"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}",South Korea,Asia
2574970,/m/07p15p,Big Wars,1993-09-25,,90.0,{},"{""/m/06n90"": ""Science Fiction"", ""/m/0jxy"": ""Anime"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/0hcr"": ""Animation""}",Japan,Asia
27667647,/m/0c41tt3,Pelli Naati Pramanalu,1958-12-17,,,"{""/m/09s02"": ""Telugu language""}","{""/m/05p553"": ""Comedy film"", ""/m/07s9rl0"": ""Drama""}",India,Asia
15221045,/m/03hmbm9,Seoul Jesus,1986-03-27,,102.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/01hmnh"": ""Fantasy"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama""}",South Korea,Asia
22695715,/m/05zp8vw,The Incident,1978-06-03,,138.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/0gw5n2f"": ""Japanese Movies""}",Japan,Asia
27504492,/m/0gkss5y,Cyrano Agency,2010-09-16,17917697.0,119.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/07s9rl0"": ""Drama""}",South Korea,Asia
