Wiki ID,Freebase ID,Movie name,Release date,Revenue,Runtime,Languages,Genres,Noms_Pays,Continent
9169526,/m/027_08f,Las Boludas,1993-08-05,,,"{""/m/06nm1"": ""Spanish Language""}","{""/m/01z4y"": ""Comedy""}",Argentina,South America
13931033,/m/03cnkmw,O Homem Que Desafiou o Diabo,2007-09-28,,,"{""/m/05zjd"": ""Portuguese Language""}","{""/m/01z4y"": ""Comedy""}",Brazil,South America
9962209,/m/02py6p6,A King and His Movie,1986-08-28,,100.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema"", ""/m/01z4y"": ""Comedy""}",Argentina,South America
13365023,/m/03c3048,Meu Tio Matou Um Cara,2004-12-31,,87.0,"{""/m/05zjd"": ""Portuguese Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/02n4kr"": ""Mystery"", ""/m/01z4y"": ""Comedy"", ""/m/03k9fj"": ""Adventure""}",Brazil,South America
9002230,/m/027s_mk,Arroz con leche,1950-10-05,,79.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/01z4y"": ""Comedy""}",Argentina,South America
4825726,/m/0cpt3n,Rosario Tijeras,2005-08-12,,106.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/03q4nz"": ""World cinema"", ""/m/03btsm8"": ""Action/Adventure""}",Mexico,South America
4825726,/m/0cpt3n,Rosario Tijeras,2005-08-12,,106.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/03q4nz"": ""World cinema"", ""/m/03btsm8"": ""Action/Adventure""}",Spain,South America
4825726,/m/0cpt3n,Rosario Tijeras,2005-08-12,,106.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/03q4nz"": ""World cinema"", ""/m/03btsm8"": ""Action/Adventure""}",Brazil,South America
9194802,/m/027_vsl,Así es Buenos Aires,1971-05-06,,95.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/04t36"": ""Musical"", ""/m/01z4y"": ""Comedy"", ""/m/01g6gs"": ""Black-and-white""}",Argentina,South America
26479956,/m/0bbw2qb,Joanna Francesa,1975-03-12,,110.0,{},"{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/03k9fj"": ""Adventure""}",France,South America
26479956,/m/0bbw2qb,Joanna Francesa,1975-03-12,,110.0,{},"{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/03k9fj"": ""Adventure""}",Brazil,South America
9757430,/m/02pr7_x,Sol de otoño,1996-08-08,,110.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/02djzlc"": ""Religious Film""}",Argentina,South America
9701398,/m/02ppl9x,Family Law,2006-12-08,,102.0,"{""/m/03hkp"": ""Hebrew Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema"", ""/m/01z4y"": ""Comedy""}",France,South America
9701398,/m/02ppl9x,Family Law,2006-12-08,,102.0,"{""/m/03hkp"": ""Hebrew Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema"", ""/m/01z4y"": ""Comedy""}",Spain,South America
9701398,/m/02ppl9x,Family Law,2006-12-08,,102.0,"{""/m/03hkp"": ""Hebrew Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema"", ""/m/01z4y"": ""Comedy""}",Italy,South America
9701398,/m/02ppl9x,Family Law,2006-12-08,,102.0,"{""/m/03hkp"": ""Hebrew Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema"", ""/m/01z4y"": ""Comedy""}",Argentina,South America
9383995,/m/0286q52,La Ciénaga,2001-10-03,,100.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/0vgkd"": ""Black comedy"", ""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema"", ""/m/01z4y"": ""Comedy""}",France,South America
9383995,/m/0286q52,La Ciénaga,2001-10-03,,100.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/0vgkd"": ""Black comedy"", ""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema"", ""/m/01z4y"": ""Comedy""}",Spain,South America
9383995,/m/0286q52,La Ciénaga,2001-10-03,,100.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/0vgkd"": ""Black comedy"", ""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema"", ""/m/01z4y"": ""Comedy""}",Argentina,South America
8908477,/m/027p66p,Los Amores de Laurita,1986-09-11,,90.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie""}",Argentina,South America
9776671,/m/02prw3g,Nuestra tierra de paz,1939-07-04,,,"{""/m/06nm1"": ""Spanish Language""}","{""/m/03bxz7"": ""Biographical film"", ""/m/01g6gs"": ""Black-and-white""}",Argentina,South America
25346493,/m/09ghl42,El Santo de la Espada,1970-03-25,,120.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/02p0szs"": ""Historical fiction"", ""/m/07s9rl0"": ""Drama""}",Argentina,South America
9287970,/m/02834cs,Así te quiero,1942-02-18,,86.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01g6gs"": ""Black-and-white""}",Argentina,South America
9857898,/m/05synk1,God Reward You,1948-03-11,,120.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/07s9rl0"": ""Drama""}",Argentina,South America
9125868,/m/027ylyd,Arriba Juventud,1971-03-04,,85.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/04t36"": ""Musical"", ""/m/01z4y"": ""Comedy""}",Argentina,South America
26483776,/m/0bbtvw2,The Inheritors,1970-06-18,,87.0,{},"{""/m/07s9rl0"": ""Drama""}",Argentina,South America
