level_0,index,Wiki ID,Freebase ID,Movie name,Release date,Revenue,Runtime,Languages,Genres,Noms_Pays,Continent
68,153,12438366,/m/02w5vj3,Mehndi Waley Hath,2000-08-25,,,"{""/m/0688f"": ""Punjabi language""}","{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama""}",Pakistan,Asia
71,162,33514209,/m/0h9562r,Mud and Soldiers,1939-10-15,,120.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film""}",Japan,Asia
76,170,18066159,/m/047q7xf,The Sands of Kurobe,1968-03-01,,196.0,{},"{""/m/0gw5n2f"": ""Japanese Movies""}",Japan,Asia
84,183,19569910,/m/04n2zzq,Time of Eve,2010-03-06,,106.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/06n90"": ""Science Fiction"", ""/m/0jxy"": ""Anime"", ""/m/0gw5n2f"": ""Japanese Movies""}",Japan,Asia
90,197,748616,/m/03813g,"Spring, Summer, Fall, Winter... and Spring",2003-08-14,9524745.0,95.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}",South Korea,Asia
91,198,36151270,/m/0k0hkgm,Agneekaal,1990-10-19,,,"{""/m/03k50"": ""Hindi Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama""}",India,Asia
106,220,20119316,/m/04yfw36,Eoudong,1985-09-28,,110.0,{},"{""/m/07s9rl0"": ""Drama""}",South Korea,Asia
117,251,6703617,/m/0gj6pd,The Forbidden Kingdom,2008-04-04,127906624.0,105.0,"{""/m/0653m"": ""Standard Mandarin"", ""/m/02h40lc"": ""English Language"", ""/m/0459q4"": ""Standard Cantonese""}","{""/m/08322"": ""Wuxia"", ""/m/0hj3n2k"": ""Fantasy Adventure"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04xvlr"": ""Period piece"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/01hmnh"": ""Fantasy"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action"", ""/m/0gw5qqq"": ""Chinese Movies""}",Hong Kong,Asia
117,251,6703617,/m/0gj6pd,The Forbidden Kingdom,2008-04-04,127906624.0,105.0,"{""/m/0653m"": ""Standard Mandarin"", ""/m/02h40lc"": ""English Language"", ""/m/0459q4"": ""Standard Cantonese""}","{""/m/08322"": ""Wuxia"", ""/m/0hj3n2k"": ""Fantasy Adventure"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04xvlr"": ""Period piece"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/01hmnh"": ""Fantasy"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action"", ""/m/0gw5qqq"": ""Chinese Movies""}",China,Asia
120,258,29174042,/m/0dlm0sz,Toll Booth,2010-10-09,,97.0,"{""/m/02hwyss"": ""Turkish Language""}","{""/m/07s9rl0"": ""Drama""}",Turkey,Asia
124,262,30353952,/m/0g5rqxx,Hababam Sınıfı Tatilde,1977-01-01,,90.0,{},"{""/m/05p553"": ""Comedy film""}",Turkey,Asia
132,282,6471697,/m/0g6kwp,Ajooba,1991-04-12,,179.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure"", ""/m/01chg"": ""Bollywood""}",India,Asia
144,299,14543900,/m/03d76w1,Raju Chacha,2000-12-20,,,"{""/m/03k50"": ""Hindi Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",India,Asia
145,300,35567084,/m/0j9n5v7,I AM.,2012-05-15,,130.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/0jtdp"": ""Documentary""}",South Korea,Asia
150,307,21618909,/m/05m_4m6,Barah Aana,2009-03-20,,97.0,"{""/m/03k50"": ""Hindi Language"", ""/m/02h40lc"": ""English Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",India,Asia
154,314,20553214,/m/051yg_8,Mon Mane Na,2008-12-05,,,"{""/m/01c7y"": ""Bengali Language""}","{""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",India,Asia
161,326,12490207,/m/02w8rhv,Over the Rainbow,2002-05-17,2549834.0,109.0,"{""/m/02hwhyv"": ""Korean Language"", ""/m/012w70"": ""Cantonese""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/01jfsb"": ""Thriller"", ""/m/03q4nz"": ""World cinema"", ""/m/07s9rl0"": ""Drama"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}",South Korea,Asia
162,329,2574970,/m/07p15p,Big Wars,1993-09-25,,90.0,{},"{""/m/06n90"": ""Science Fiction"", ""/m/0jxy"": ""Anime"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/0hcr"": ""Animation""}",Japan,Asia
168,344,20117139,/m/04ybcks,Susanne Brink's Arirang,1991-09-21,,118.0,"{""/m/06mp7"": ""Swedish Language"", ""/m/02hwhyv"": ""Korean Language""}","{""/m/07s9rl0"": ""Drama""}",South Korea,Asia
174,361,27667647,/m/0c41tt3,Pelli Naati Pramanalu,1958-12-17,,,"{""/m/09s02"": ""Telugu language""}","{""/m/05p553"": ""Comedy film"", ""/m/07s9rl0"": ""Drama""}",India,Asia
175,364,15221045,/m/03hmbm9,Seoul Jesus,1986-03-27,,102.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/01hmnh"": ""Fantasy"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama""}",South Korea,Asia
179,372,22695715,/m/05zp8vw,The Incident,1978-06-03,,138.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/0gw5n2f"": ""Japanese Movies""}",Japan,Asia
190,391,27504492,/m/0gkss5y,Cyrano Agency,2010-09-16,17917697.0,119.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/07s9rl0"": ""Drama""}",South Korea,Asia
198,402,28178412,/m/0cnxmjr,Mamarazzi,2010-08-25,,,"{""/m/07qv_"": ""Tagalog language"", ""/m/02h40lc"": ""English Language""}","{""/m/0gxblw4"": ""Filipino Movies""}",Philippines,Asia
204,417,24282238,/m/07s7rx2,Yamraaj,1998-07-31,,,"{""/m/03k50"": ""Hindi Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/02kdv5l"": ""Action""}",India,Asia
222,460,20018854,/m/04y6hf1,It's Breaking News,2007-10-05,,115.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/03q4nz"": ""World cinema"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/02n4lw"": ""Art film"", ""/m/01chg"": ""Bollywood""}",India,Asia
229,471,10594195,/m/02qjr0p,Betaab,1983-08-05,,154.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/04t36"": ""Musical"", ""/m/01chg"": ""Bollywood""}",India,Asia
230,472,25836931,/m/09v9ywt,Even the Clouds Are Drifting,1959-11-05,,100.0,{},"{""/m/0hqxf"": ""Family Film"", ""/m/07s9rl0"": ""Drama""}",South Korea,Asia
240,497,3459253,/m/09dl0l,Secret of the Telegian,1960-04-10,,85.0,"{""/m/03_9r"": ""Japanese Language"", ""/m/02h40lc"": ""English Language""}","{""/m/02n4kr"": ""Mystery"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0gw5n2f"": ""Japanese Movies""}",Japan,Asia
248,525,11220896,/m/02r4288,Baba Kalyani,2006-12-15,,,"{""/m/0999q"": ""Malayalam Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/02n4kr"": ""Mystery"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama""}",India,Asia
253,538,7082486,/m/0h39yl,Aadavari Matalaku Ardhalu Verule,2007-04-27,,,"{""/m/09s02"": ""Telugu language""}","{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",India,Asia
259,545,31196941,/m/0gjct08,Suryaa: An Awakening,1989-02-10,,,"{""/m/03k50"": ""Hindi Language""}","{""/m/07s9rl0"": ""Drama""}",India,Asia
262,548,20694087,/m/051w_vb,Kanden Kadhalai,2009-10-30,,,"{""/m/07c9s"": ""Tamil Language""}","{""/m/02l7c8"": ""Romance Film"", ""/m/01z4y"": ""Comedy""}",India,Asia
265,553,10972420,/m/02qwsng,Final Solution,2004-02-13,,218.0,"{""/m/03k50"": ""Hindi Language"", ""/m/0121sr"": ""Gujarati Language"", ""/m/02hxcvy"": ""Urdu Language""}","{""/m/0jtdp"": ""Documentary""}",India,Asia
266,554,23435357,/m/06w7l0s,Do Knot Disturb,2009-10-02,,139.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/03q4nz"": ""World cinema"", ""/m/0220p9g"": ""Musical comedy"", ""/m/04t36"": ""Musical"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3mz5"": ""Comedy of Errors"", ""/m/01chg"": ""Bollywood""}",India,Asia
268,559,27064671,/m/0bs1p_v,Four Friends,2010-10-28,,,"{""/m/0999q"": ""Malayalam Language""}","{""/m/07s9rl0"": ""Drama""}",India,Asia
272,564,26687336,/m/0bmh28z,Yamla Pagla Deewana,2011-01-14,,140.0,"{""/m/03k50"": ""Hindi Language"", ""/m/0688f"": ""Punjabi language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/06cvj"": ""Romantic comedy"", ""/m/03q4nz"": ""World cinema"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/01chg"": ""Bollywood""}",India,Asia
276,573,1094668,/m/045hxr,Asoka,2001-10-26,,176.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/03q4nz"": ""World cinema"", ""/m/03g3w"": ""History"", ""/m/06l3bl"": ""Epic"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action"", ""/m/01chg"": ""Bollywood""}",India,Asia
294,618,14217965,/m/03cy3md,The Ammunition Hunters,1971-07-29,,,"{""/m/0653m"": ""Standard Mandarin""}","{""/m/02kdv5l"": ""Action"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/03k9fj"": ""Adventure"", ""/m/082gq"": ""War film""}",Hong Kong,Asia
298,625,11599737,/m/02rl3k7,26 Years Diary,2007-01-27,3614835.0,131.0,"{""/m/03_9r"": ""Japanese Language"", ""/m/02hwhyv"": ""Korean Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/03bxz7"": ""Biographical film"", ""/m/0gw5n2f"": ""Japanese Movies""}",Japan,Asia
298,625,11599737,/m/02rl3k7,26 Years Diary,2007-01-27,3614835.0,131.0,"{""/m/03_9r"": ""Japanese Language"", ""/m/02hwhyv"": ""Korean Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/03bxz7"": ""Biographical film"", ""/m/0gw5n2f"": ""Japanese Movies""}",South Korea,Asia
301,629,29419841,/m/0dsb9n0,Liar Game: The Final Stage,2010-03-06,,133.0,{},"{""/m/0gw5n2f"": ""Japanese Movies""}",Japan,Asia
308,643,6488515,/m/0g7889,Satyam Shivam Sundaram,1978-03-22,,172.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01chg"": ""Bollywood"", ""/m/03q4nz"": ""World cinema""}",India,Asia
316,665,33459944,/m/0h94_ry,Shakal Pe Mat Ja,2011-11-04,,,"{""/m/03k50"": ""Hindi Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/05p553"": ""Comedy film"", ""/m/07s9rl0"": ""Drama""}",India,Asia
334,709,7876902,/m/026h68f,Abhilasha,1983-03-11,,,"{""/m/09s02"": ""Telugu language""}","{""/m/03npn"": ""Horror""}",India,Asia
335,710,25847898,/m/09v5fbh,Tora-san's Dream-Come-True,1972-12-29,,95.0,{},"{""/m/0gw5n2f"": ""Japanese Movies""}",Japan,Asia
346,737,9889964,/m/02pw05g,Baaghi: A Rebel for Love,1990-12-11,,157.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action""}",India,Asia
350,750,17807776,/m/047b7yb,The Magic Hour,2008-06-07,,136.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/01z4y"": ""Comedy"", ""/m/03q4nz"": ""World cinema""}",Japan,Asia
352,760,17635680,/m/0464hw5,Young Breasts,1958-09-08,,90.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/07s9rl0"": ""Drama""}",Japan,Asia
360,783,8437284,/m/0273d78,Cash,2007-08-03,,145.0,"{""/m/03k50"": ""Hindi Language"", ""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/03q4nz"": ""World cinema"", ""/m/04t36"": ""Musical"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02kdv5l"": ""Action"", ""/m/01chg"": ""Bollywood""}",India,Asia
374,808,5923472,/m/0fds50,Allari Pidugu,2005-10-05,,171.0,"{""/m/09s02"": ""Telugu language""}","{""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema"", ""/m/02cqmh"": ""Tollywood""}",India,Asia
376,811,35618397,/m/0jkxw_8,Ghar Sansar,1986-07-11,,,"{""/m/03k50"": ""Hindi Language""}","{""/m/0hqxf"": ""Family Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",India,Asia
384,829,23404570,/m/06w2rd_,Sexual Desires in the Ladies' Restroom: Dripping!,1995-11-23,,60.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/02js9"": ""Erotica"", ""/m/01jk9n"": ""Pornographic movie""}",Japan,Asia
387,836,2262277,/m/06_461,Salaam Bombay!,1988-10-07,,114.0,"{""/m/03k50"": ""Hindi Language"", ""/m/02h40lc"": ""English Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/02m4t"": ""Existentialism"", ""/m/06lbpz"": ""Social problem film"", ""/m/03q4nz"": ""World cinema"", ""/m/01chg"": ""Bollywood""}",India,Asia
391,846,32066330,/m/0gw_pc6,Overheard 2,2011-08-18,159000000.0,121.0,"{""/m/012w70"": ""Cantonese"", ""/m/0459q4"": ""Standard Cantonese""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/02n4kr"": ""Mystery"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/01jfsb"": ""Thriller""}",Hong Kong,Asia
391,846,32066330,/m/0gw_pc6,Overheard 2,2011-08-18,159000000.0,121.0,"{""/m/012w70"": ""Cantonese"", ""/m/0459q4"": ""Standard Cantonese""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/02n4kr"": ""Mystery"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/01jfsb"": ""Thriller""}",China,Asia
392,848,18195326,/m/04cth_t,Life is Cool,2008-06-12,28100.0,95.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/02l7c8"": ""Romance Film""}",South Korea,Asia
395,853,26446859,/m/0bbz4tk,Aido: Slave of Love,1969-05-24,,105.0,{},"{""/m/0gw5n2f"": ""Japanese Movies""}",Japan,Asia
399,858,8889869,/m/027ngfy,Apne,2007-06-29,,155.0,"{""/m/03k50"": ""Hindi Language"", ""/m/02h40lc"": ""English Language""}","{""/m/01z02hx"": ""Sports"", ""/m/02h8pkk"": ""Family Drama"", ""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}",India,Asia
408,883,8743599,/m/027h46q,Baazi,1995-04-05,,183.0,"{""/m/03k50"": ""Hindi Language"", ""/m/02hxcvy"": ""Urdu Language""}","{""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/01chg"": ""Bollywood"", ""/m/03q4nz"": ""World cinema""}",India,Asia
416,901,23248065,/m/04mmk2w,The Sky Crawlers,2008-08-02,,121.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/06n90"": ""Science Fiction"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/0hcr"": ""Animation"", ""/m/0jxy"": ""Anime"", ""/m/02kdv5l"": ""Action"", ""/m/0cq23f0"": ""Sci-Fi Adventure""}",Japan,Asia
425,931,15371815,/m/03m6g6g,Neumi,1980-06-13,,100.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/01lrrt"": ""Melodrama""}",South Korea,Asia
426,933,31149313,/m/0gh6lcs,Paap Ka Ant,1989-12-08,,,"{""/m/03k50"": ""Hindi Language""}","{""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama""}",India,Asia
430,949,36348802,/m/0k3n8tj,Vulgaria,2012-07-07,,92.0,"{""/m/012w70"": ""Cantonese""}","{""/m/05p553"": ""Comedy film""}",Hong Kong,Asia
432,953,26374132,/m/0bbzv0c,Lost Spring,1967-01-14,,91.0,{},"{""/m/0gw5n2f"": ""Japanese Movies""}",Japan,Asia
433,959,1358704,/m/04wjg1,The Sword of Doom,1966-01-25,,120.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03k9fj"": ""Adventure"", ""/m/03q4nz"": ""World cinema"", ""/m/0hj3m_6"": ""Costume Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/02qqtlj"": ""Samurai cinema"", ""/m/02n4lw"": ""Art film""}",Japan,Asia
442,987,31636280,/m/0gx3rq1,Talaash,2012-11-30,,,"{""/m/03k50"": ""Hindi Language"", ""/m/055qm"": ""Marathi Language"", ""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/01chg"": ""Bollywood""}",India,Asia
446,998,10604572,/m/02qj_5b,Rebel Intruders,1980-09-10,,99.0,"{""/m/03115z"": ""Mandarin Chinese""}","{""/m/02kdv5l"": ""Action"", ""/m/04t2t"": ""Martial Arts Film""}",Hong Kong,Asia
452,1014,25768831,/m/09v8vhk,Third Base,1978-03-25,,102.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/0gw5n2f"": ""Japanese Movies""}",Japan,Asia
453,1016,25877696,/m/09v1sb5,Mo hozue wa tsukanai,1979-12-15,,103.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/07s9rl0"": ""Drama""}",Japan,Asia
464,1050,33083106,/m/0h63vkm,Mere Naam Hai Mohabbat,1975-08-08,,,"{""/m/02hxcvy"": ""Urdu Language""}","{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama""}",Pakistan,Asia
465,1051,17884388,/m/047pf_0,Dil Kabaddi,2008-12-05,,130.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/03q4nz"": ""World cinema"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/01chg"": ""Bollywood""}",India,Asia
469,1058,23467297,/m/06w8b2n,Perfect Mismatch,2009-07-10,,97.0,"{""/m/02h40lc"": ""English Language""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/03q4nz"": ""World cinema"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}",India,Asia
470,1059,3972416,/m/0b9dv_,Robot Taekwon V,1976-07-24,,85.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/02kdv5l"": ""Action""}",South Korea,Asia
484,1088,15098346,/m/03hhb6g,Aag Ke Sholay,1988-10-14,,138.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/02kdv5l"": ""Action""}",India,Asia
495,1110,32098888,/m/0gx1gwf,Aar Paar,1985-11-22,,130.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/02kdv5l"": ""Action""}",India,Asia
505,1134,23593226,/m/06zkdv4,Teree Sang: A Kidult Love Story,2009-08-07,,,"{""/m/03k50"": ""Hindi Language"", ""/m/0688f"": ""Punjabi language"", ""/m/02h40lc"": ""English Language""}","{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama""}",India,Asia
508,1139,30710263,/m/0g9_hjj,Fighter,2011-01-07,,160.0,{},"{""/m/02kdv5l"": ""Action""}",India,Asia
511,1151,27953778,/m/0ch30sk,Dream Home,2010-04-23,,90.0,"{""/m/012w70"": ""Cantonese"", ""/m/0459q4"": ""Standard Cantonese""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema"", ""/m/01585b"": ""Slasher"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/0gw5qqq"": ""Chinese Movies""}",Hong Kong,Asia
514,1155,35790655,/m/0jt1c7n,Putham Pudhu Payanam,1991-11-22,,120.0,"{""/m/07c9s"": ""Tamil Language""}","{""/m/07s9rl0"": ""Drama""}",India,Asia
538,1207,35288836,/m/0jwvhp3,New Battles Without Honor and Humanity,2000-10-12,,109.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/07s9rl0"": ""Drama""}",Japan,Asia
540,1215,5177364,/m/0cgr8nw,Hathyar: Face to Face with Reality,2002-10-18,,,"{""/m/03k50"": ""Hindi Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama""}",India,Asia
545,1234,36353254,/m/0k3p2kb,The Reunion,2012-08-15,,,"{""/m/01jb8r"": ""Filipino language"", ""/m/02h40lc"": ""English Language""}","{""/m/05p553"": ""Comedy film""}",Philippines,Asia
546,1238,5177163,/m/0d6dd5,Kartavya,1979-05-11,,168.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",India,Asia
550,1245,9650057,/m/02pn3hd,Nenjinile,1999-06-25,,,"{""/m/07c9s"": ""Tamil Language""}","{""/m/02kdv5l"": ""Action""}",India,Asia
556,1254,26306593,/m/0b775_p,Mittal v/s Mittal,2010-03-19,,,"{""/m/03k50"": ""Hindi Language""}","{""/m/07s9rl0"": ""Drama""}",India,Asia
560,1275,26614442,/m/0bh739w,Black Dalia,2009-04-30,,,"{""/m/0999q"": ""Malayalam Language""}","{""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama""}",India,Asia
