level_0,index,Wiki ID,Freebase ID,Movie name,Release date,Revenue,Runtime,Languages,Genres,Noms_Pays,Continent
12,27,20604092,/m/0523t_1,Anbu Thozhi,2007-08-17,,,"{""/m/07c9s"": ""Tamil Language""}","{""/m/02l7c8"": ""Romance Film""}",India,Asia
14,30,11448183,/m/02rc_h4,Bindiya Chamkegi,1984-01-20,,,"{""/m/03k50"": ""Hindi Language""}","{""/m/0hqxf"": ""Family Film"", ""/m/01z4y"": ""Comedy""}",India,Asia
15,37,29772142,/m/0fq260_,Karayilekku Oru Kadal Dooram,2010-12-31,,110.0,"{""/m/0999q"": ""Malayalam Language""}","{""/m/07s9rl0"": ""Drama""}",India,Asia
16,39,26623942,/m/0bh9fbk,Kausthubham,2010-03-19,,,"{""/m/0999q"": ""Malayalam Language""}","{""/m/07s9rl0"": ""Drama""}",India,Asia
22,55,36009421,/m/05b0lk8,Jay Vejay,1977-11-11,,152.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/03k9fj"": ""Adventure""}",India,Asia
33,80,24761154,/m/080bxrj,My Friend Ganesha,2007-07-06,,190.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/03q4nz"": ""World cinema""}",India,Asia
35,87,11996174,/m/02vlbrf,Aaj Ka Andha Kanoon,2003-06-10,,130.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/0gw5w78"": ""Gangster Film"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}",India,Asia
39,102,4300418,/m/0bvx7h,The Hero: Love Story of a Spy,2003-04-11,,182.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/03k9fj"": ""Adventure"", ""/m/03q4nz"": ""World cinema"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/02kdv5l"": ""Action"", ""/m/02wtdkf"": ""Musical Drama""}",India,Asia
43,108,24196090,/m/07k8x7p,The World of Geisha,1973-11-03,,73.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/0hj3n16"": ""Erotic Drama"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/02js9"": ""Erotica"", ""/m/03q4nz"": ""World cinema"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/01jk9n"": ""Pornographic movie"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}",Japan,Asia
47,114,17780234,/m/0479c20,Banana Club,1996-04-13,,,"{""/m/012w70"": ""Cantonese""}","{""/m/0gw5qqq"": ""Chinese Movies""}",Hong Kong,Asia
51,119,3873713,/m/0b4f1s,Lee Dae-ro Can't Die,2005-08-18,4736013.0,108.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/02kdv5l"": ""Action"", ""/m/01z4y"": ""Comedy""}",South Korea,Asia
55,124,24282217,/m/07sb8_t,The Naked Kitchen,2009-02-05,638181.0,102.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/03q4nz"": ""World cinema"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}",South Korea,Asia
64,141,1072373,/m/043j2x,Minsaara Kanavu,1997-01-14,,148.0,"{""/m/07c9s"": ""Tamil Language""}","{""/m/03q4nz"": ""World cinema"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/01chg"": ""Bollywood""}",India,Asia
