level_0,index,Wiki ID,Freebase ID,Movie name,Release date,Revenue,Runtime,Languages,Genres,Noms_Pays,Continent
2388,5317,34995074,/m/0j62vhv,50 Years! Of Love?,2008-07-24,,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0jtdp"": ""Documentary""}",South Africa,Africa
2680,6014,2048925,/m/06hhqq,Othello,1952-11-19,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0fx2s"": ""Tragedy"", ""/m/04xvh5"": ""Costume drama"", ""/m/06l3bl"": ""Epic"", ""/m/01g6gs"": ""Black-and-white"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}",Morocco,Africa
3001,6778,35136452,/m/0j65jzp,Kalem Mama,2003-06-15,,90.0,"{""/m/0jzc"": ""Arabic Language""}","{""/m/05p553"": ""Comedy film""}",Egypt,Africa
3153,7128,12751960,/m/02x3922,The Deal,2008-01-22,,100.0,"{""/m/01wgr"": ""Czech Language"", ""/m/03hkp"": ""Hebrew Language"", ""/m/02h40lc"": ""English Language""}","{""/m/0gf28"": ""Parody"", ""/m/0219x_"": ""Indie"", ""/m/06nbt"": ""Satire"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/060__y"": ""Film adaptation"", ""/m/02l7c8"": ""Romance Film""}",South Africa,Africa
3219,7289,2871613,/m/0884wb,The Jewel of the Nile,1985-12-11,96773200.0,107.0,"{""/m/0jzc"": ""Arabic Language"", ""/m/02h40lc"": ""English Language""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0hj3msd"": ""Adventure Comedy"", ""/m/01z4y"": ""Comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action""}",Morocco,Africa
3254,7375,21114814,/m/05c2_my,A Ripple in the Pond,1952-12-30,,102.0,"{""/m/0349s"": ""Greek Language""}","{""/m/01z4y"": ""Comedy""}",Egypt,Africa
3292,7474,34982299,/m/0j63kl2,Tendid,2010-10-25,,15.0,{},"{""/m/02hmvc"": ""Short Film""}",Tunisia,Africa
3400,7717,9073201,/m/027wnp4,A`isha,1953-12-04,,,"{""/m/0jzc"": ""Arabic Language""}","{""/m/07s9rl0"": ""Drama""}",Egypt,Africa
3405,7728,27381413,/m/0bdt4ln,Soul Boy,2010-03-04,,61.0,"{""/m/071fb"": ""Swahili Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/01j1n2"": ""Coming of age""}",Kenya,Africa
3487,7912,26825116,/m/0bmc99w,White Material,2010-03-24,,106.0,"{""/m/064_8sq"": ""French Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/03mqtr"": ""Political drama"", ""/m/03q4nz"": ""World cinema"", ""/m/082gq"": ""War film""}",Cameroon,Africa
3580,8122,34973471,/m/0j65l4w,Sekalli le Meokgo,2006-09-07,,19.0,"{""/m/01vp3n"": ""Sotho language""}","{""/m/02hmvc"": ""Short Film"", ""/m/07s9rl0"": ""Drama""}",South Africa,Africa
3650,8278,19473324,/m/04mytqc,Sweepers,1998-12-02,,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/01jfsb"": ""Thriller"", ""/m/02kdv5l"": ""Action"", ""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema""}",South Africa,Africa
3857,8730,707823,/m/034hzj,Cry Freedom,1987-11-05,5899797.0,157.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/017fp"": ""Biography"", ""/m/07s9rl0"": ""Drama"", ""/m/03mqtr"": ""Political drama""}",South Africa,Africa
3872,8765,35013147,/m/0j67f6q,Sea Point Days,2008-09-06,,96.0,"{""/m/0nl8g"": ""Xhosa Language"", ""/m/0x82"": ""Afrikaans Language"", ""/m/02h40lc"": ""English Language""}","{""/m/0jtdp"": ""Documentary""}",South Africa,Africa
3965,8978,5895236,/m/0fcbjw,Days of Glory,2006-09-27,,122.0,"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language""}","{""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film""}",Algeria,Africa
3965,8978,5895236,/m/0fcbjw,Days of Glory,2006-09-27,,122.0,"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language""}","{""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film""}",Morocco,Africa
4039,9161,20882036,/m/056bs9t,Hansie,2008-09-24,,,{},"{""/m/07s9rl0"": ""Drama""}",South Africa,Africa
4200,9491,35672322,/m/0j50wd9,How to Start a Revolution,2011-09-18,,85.0,"{""/m/0cjk9"": ""Ukrainian Language"", ""/m/0jzc"": ""Arabic Language"", ""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/03bxz7"": ""Biographical film"", ""/m/0jtdp"": ""Documentary""}",Egypt,Africa
4244,9610,34748230,/m/0j3fsgp,Women Cars Villas Money,2010-02-03,,75.0,"{""/m/064_8sq"": ""French Language""}","{""/m/07s9rl0"": ""Drama""}",Burkina Faso,Africa
4301,9740,33269214,/m/0h7m5gx,Omar Killed Me,2011-06-22,,85.0,"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/028v3"": ""Detective fiction"", ""/m/07s9rl0"": ""Drama""}",Morocco,Africa
4471,10140,35180817,/m/0j5ycmt,"The Virgin, the Copts and Me",2011-10-27,,85.0,"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language""}","{""/m/01z4y"": ""Comedy"", ""/m/0jtdp"": ""Documentary""}",Egypt,Africa
4628,10478,24449669,/m/07l4ylb,Cairo Time,2009-10-09,1995012.0,89.0,"{""/m/0jzc"": ""Arabic Language"", ""/m/02h40lc"": ""English Language""}","{""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/0hj3nbk"": ""Marriage Drama"", ""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie""}",Egypt,Africa
4651,10552,35013163,/m/0j63t34,Semillas que el mar arrastra,2008-11-13,,52.0,{},"{""/m/0jtdp"": ""Documentary""}",Senegal,Africa
4651,10552,35013163,/m/0j63t34,Semillas que el mar arrastra,2008-11-13,,52.0,{},"{""/m/0jtdp"": ""Documentary""}",Cameroon,Africa
4723,10708,15739716,/m/03nrwbj,Les Ambassadeurs,1977-04-27,,102.0,"{""/m/064_8sq"": ""French Language""}","{""/m/07s9rl0"": ""Drama""}",Libya,Africa
4723,10708,15739716,/m/03nrwbj,Les Ambassadeurs,1977-04-27,,102.0,"{""/m/064_8sq"": ""French Language""}","{""/m/07s9rl0"": ""Drama""}",Tunisia,Africa
4749,10760,1589664,/m/05dttv,"The Leader, His Driver and the Driver's Wife",1991-09-13,,85.0,"{""/m/0x82"": ""Afrikaans Language"", ""/m/02h40lc"": ""English Language""}","{""/m/0hj3n07"": ""Culture & Society"", ""/m/017fp"": ""Biography"", ""/m/03mqtr"": ""Political drama"", ""/m/075fzd"": ""Social issues"", ""/m/0jtdp"": ""Documentary""}",South Africa,Africa
4869,11014,16193623,/m/03wcjtz,A Walk to Beautiful,2008-09-08,,83.0,"{""/m/0nj_l"": ""Amharic Language"", ""/m/02h40lc"": ""English Language""}","{""/m/0jtdp"": ""Documentary""}",Ethiopia,Africa
5020,11384,7715751,/m/0kvfw9,Tes Cheveux Noirs Ihsan,2005-06-12,,14.0,"{""/m/0jzc"": ""Arabic Language"", ""/m/02h40lc"": ""English Language""}","{""/m/02hmvc"": ""Short Film"", ""/m/07s9rl0"": ""Drama""}",Morocco,Africa
5099,11566,5073426,/m/08frc4,U-Carmen e-Khayelitsha,2005-04-01,,122.0,"{""/m/0nl8g"": ""Xhosa Language""}","{""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/03q4nz"": ""World cinema""}",South Africa,Africa
5124,11625,26400227,/m/0bbv8yz,Legacy,2010-02-28,,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/03q4nz"": ""World cinema"", ""/m/09blyk"": ""Psychological thriller"", ""/m/0c3351"": ""Suspense"", ""/m/02qfv5d"": ""Political thriller""}",Nigeria,Africa
5487,12412,7635036,/m/0kvcwy,Luggage of the Gods!,1983-06-19,,74.0,"{""/m/02h40lc"": ""English Language""}","{""/m/01z4y"": ""Comedy""}",South Africa,Africa
5516,12467,5028914,/m/0c_kl6,3 Needles,2006-12-01,,127.0,"{""/m/02h40lc"": ""English Language"", ""/m/03115z"": ""Mandarin Chinese"", ""/m/0nl8g"": ""Xhosa Language"", ""/m/0x82"": ""Afrikaans Language"", ""/m/064_8sq"": ""French Language"", ""/m/0653m"": ""Standard Mandarin""}","{""/m/07s9rl0"": ""Drama"", ""/m/06lbpz"": ""Social problem film"", ""/m/0219x_"": ""Indie"", ""/m/0gw5qqq"": ""Chinese Movies""}",South Africa,Africa
5961,13435,33047073,/m/0h54k23,"Tahrir 2011: The Good, the Bad, and the Politician",2011-09-17,,90.0,"{""/m/0jzc"": ""Arabic Language""}","{""/m/0jtdp"": ""Documentary""}",Egypt,Africa
6185,13959,14771682,/m/03gxgdm,Footskating 101,2007-09-14,,83.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0219x_"": ""Indie"", ""/m/03k9fj"": ""Adventure"", ""/m/01z4y"": ""Comedy""}",South Africa,Africa
6260,14112,3492397,/m/09ggb8,Slipstream,2005-02-12,,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/04btyz"": ""Heist"", ""/m/06n90"": ""Science Fiction""}",Zambia,Africa
6260,14112,3492397,/m/09ggb8,Slipstream,2005-02-12,,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/04btyz"": ""Heist"", ""/m/06n90"": ""Science Fiction""}",South Africa,Africa
6410,14450,26052430,/m/0b6l370,Wife Number 13,1961-06-24,,97.0,{},{},Egypt,Africa
6427,14485,13371664,/m/03c34_c,Les Saignantes,2005-09-09,,92.0,"{""/m/064_8sq"": ""French Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror""}",Cameroon,Africa
7049,15795,35005007,/m/0j62ck_,En attendant les hommes,2007-10-01,,56.0,"{""/m/0jzc"": ""Arabic Language""}","{""/m/0jtdp"": ""Documentary""}",Senegal,Africa
7160,16056,34952826,/m/0j46ph2,Fissures,2009-12-07,,75.0,"{""/m/0jzc"": ""Arabic Language""}","{""/m/07s9rl0"": ""Drama""}",Morocco,Africa
7210,16169,11486399,/m/02rfhl7,The Unique Oneness of Christian Savage,2002-04-30,,18.0,{},"{""/m/02hmvc"": ""Short Film"", ""/m/07s9rl0"": ""Drama""}",South Africa,Africa
7244,16233,34983677,/m/0gfplsp,Togetherness Supreme,2010-10-05,,94.0,"{""/m/071fb"": ""Swahili Language"", ""/m/02h40lc"": ""English Language""}","{""/m/07s9rl0"": ""Drama""}",Kenya,Africa
7486,16771,3285836,/m/093c_j,Yeelen,1987-09-13,,105.0,"{""/m/01gdq"": ""Bambara language"", ""/m/064_8sq"": ""French Language"", ""/m/05n7jk"": ""Fula language""}","{""/m/07s9rl0"": ""Drama"", ""/m/01j1n2"": ""Coming of age"", ""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure"", ""/m/03q4nz"": ""World cinema""}",Burkina Faso,Africa
7486,16771,3285836,/m/093c_j,Yeelen,1987-09-13,,105.0,"{""/m/01gdq"": ""Bambara language"", ""/m/064_8sq"": ""French Language"", ""/m/05n7jk"": ""Fula language""}","{""/m/07s9rl0"": ""Drama"", ""/m/01j1n2"": ""Coming of age"", ""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure"", ""/m/03q4nz"": ""World cinema""}",Mali,Africa
7670,17192,10514354,/m/02qgc_9,Ezra,2007-01-23,,102.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema"", ""/m/082gq"": ""War film""}",Nigeria,Africa
7885,17730,34982179,/m/0j67mfc,Tabou,2010-10-27,,15.0,"{""/m/0jzc"": ""Arabic Language""}","{""/m/02hmvc"": ""Short Film""}",Tunisia,Africa
8038,18037,35002964,/m/0j67bxj,Born Into Struggle,2004-04-28,,74.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/02hmvc"": ""Short Film"", ""/m/03mqtr"": ""Political drama"", ""/m/0jtdp"": ""Documentary""}",South Africa,Africa
8132,18237,35002906,/m/0j66mvv,Bab Sebta,2008-11-10,,108.0,"{""/m/05zjd"": ""Portuguese Language""}","{""/m/0jtdp"": ""Documentary""}",Morocco,Africa
8302,18611,24165807,/m/07kfrcf,Confessions of a Gambler,2008-04-04,,,"{""/m/0x82"": ""Afrikaans Language""}","{""/m/07s9rl0"": ""Drama""}",South Africa,Africa
8446,18926,13413337,/m/03c4jpf,Thieves of Fortune,1990-05-31,,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/03k9fj"": ""Adventure""}",South Africa,Africa
8724,19537,34953519,/m/0j465w2,Kinshasa palace,2006-09-08,,70.0,"{""/m/02hx_0t"": ""Khmer, Central Language"", ""/m/064_8sq"": ""French Language"", ""/m/05zjd"": ""Portuguese Language"", ""/m/02h40lc"": ""English Language""}","{""/m/07s9rl0"": ""Drama""}",Democratic Republic of the Congo,Africa
8834,19765,15402213,/m/03m7606,Blast!,2004-05-16,,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/05p553"": ""Comedy film"", ""/m/02kdv5l"": ""Action""}",South Africa,Africa
8914,19944,34973258,/m/0j64vr7,Paris sur mer,2007-12-12,,16.0,"{""/m/064_8sq"": ""French Language""}","{""/m/02hmvc"": ""Short Film"", ""/m/07s9rl0"": ""Drama""}",Morocco,Africa
9462,21146,24654654,/m/080hvx0,Through the Glass,2008-10-18,,,{},{},Nigeria,Africa
9580,21412,6355228,/m/0g2906,The Breed,2006-05-18,,87.0,"{""/m/02h40lc"": ""English Language""}","{""/m/06vxwl5"": ""Natural horror films"", ""/m/03npn"": ""Horror""}",South Africa,Africa
9585,21422,8414188,/m/0272kz_,The Naked Prey,1966-06-14,,96.0,"{""/m/0x82"": ""Afrikaans Language"", ""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action"", ""/m/03k9fj"": ""Adventure""}",South Africa,Africa
9868,22028,20877724,/m/054npf_,Un homme qui dort,1974-04-24,,93.0,"{""/m/064_8sq"": ""French Language""}","{""/m/07s9rl0"": ""Drama""}",Tunisia,Africa
9985,22297,34971552,/m/0j44_3k,Lettre à la prison,2009-04-21,,75.0,"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language""}","{""/m/07s9rl0"": ""Drama""}",Tunisia,Africa
10094,22534,36225776,/m/0k2lqjj,A Million Colours,2011-09-27,,110.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07s9rl0"": ""Drama""}",South Africa,Africa
10345,23080,34943571,/m/0j43402,C'est dimanche!,2008-07-09,,30.0,"{""/m/064_8sq"": ""French Language""}","{""/m/02hmvc"": ""Short Film"", ""/m/07s9rl0"": ""Drama""}",Algeria,Africa
10371,23136,34944530,/m/0j4340g,Corazones de mujer,2008-02-13,,85.0,"{""/m/02bjrlw"": ""Italian Language""}","{""/m/07s9rl0"": ""Drama""}",Morocco,Africa
10446,23307,31050610,/m/0f13c51,Viva Riva!,2010-09-10,,98.0,"{""/m/064_8sq"": ""French Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/0hj3n01"": ""Crime Drama""}",Democratic Republic of the Congo,Africa
10638,23712,34953464,/m/0db8kct,Khouya,2010-08-08,,17.0,"{""/m/0jzc"": ""Arabic Language""}","{""/m/02hmvc"": ""Short Film""}",Algeria,Africa
10819,24079,3384409,/m/025sq9n,The Gods Must Be Crazy II,1990-04-13,,98.0,"{""/m/0x82"": ""Afrikaans Language"", ""/m/02h40lc"": ""English Language""}","{""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema"", ""/m/01q03"": ""Cult"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",South Africa,Africa
10904,24262,34952946,/m/0j43c2z,Garagouz,2011-03-22,,22.0,"{""/m/0jzc"": ""Arabic Language""}","{""/m/02hmvc"": ""Short Film"", ""/m/07s9rl0"": ""Drama""}",Algeria,Africa
11038,24560,34954276,/m/0j42m0z,Le Voyage à Alger,2009-10-08,,97.0,"{""/m/064_8sq"": ""French Language""}","{""/m/07s9rl0"": ""Drama""}",Algeria,Africa
11321,25171,33047559,/m/0h557yx,18 Days,2011-05-18,,125.0,"{""/m/0jzc"": ""Arabic Language""}","{""/m/07s9rl0"": ""Drama""}",Egypt,Africa
11535,25697,35943352,/m/0kf9zp1,The Repentant,2012-05-19,,87.0,"{""/m/0jzc"": ""Arabic Language""}","{""/m/07s9rl0"": ""Drama""}",Algeria,Africa
11568,25759,24702976,/m/080c_y7,The Season of Men,2000-05-13,,124.0,"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language""}","{""/m/07s9rl0"": ""Drama""}",Tunisia,Africa
11570,25764,11573895,/m/02rjq60,Alien from L.A.,1988-02-26,,87.0,"{""/m/02h40lc"": ""English Language""}","{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01z4y"": ""Comedy"", ""/m/0cq23f0"": ""Sci-Fi Adventure"", ""/m/02b5_l"": ""Teen""}",South Africa,Africa
11574,25773,29129963,/m/0bj79n6,Life Above All,2010-05-18,,100.0,{},"{""/m/07s9rl0"": ""Drama""}",South Africa,Africa
11791,26253,20787941,/m/052_kvj,Beat the Drum,2003-10-10,,114.0,"{""/m/0gndv"": ""Zulu Language"", ""/m/02h40lc"": ""English Language""}","{""/m/04228s"": ""Road movie"", ""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema"", ""/m/0hj3mxx"": ""Childhood Drama""}",South Africa,Africa
11840,26365,23803661,/m/06_wlmg,Mapantsula,1988-10-20,,104.0,"{""/m/01vp3n"": ""Sotho language"", ""/m/0gndv"": ""Zulu Language"", ""/m/0x82"": ""Afrikaans Language"", ""/m/02h40lc"": ""English Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/07s9rl0"": ""Drama"", ""/m/03mqtr"": ""Political drama"", ""/m/0hj3n01"": ""Crime Drama""}",South Africa,Africa
12086,26949,19796380,/m/04q8cst,Zay El Naharda,2008-10-01,,95.0,"{""/m/034f9_"": ""Egyptian Arabic""}","{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery""}",Egypt,Africa
12197,27222,4223800,/m/0bqvqq,"10,000 BC",2008-02-22,269784201.0,109.0,"{""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/03k9fj"": ""Adventure"", ""/m/04xvh5"": ""Costume drama"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action""}",South Africa,Africa
12257,27354,34817175,/m/0j3dw7y,Otelo Burning,2011-07-21,,95.0,"{""/m/0gndv"": ""Zulu Language"", ""/m/02h40lc"": ""English Language""}","{""/m/01j1n2"": ""Coming of age"", ""/m/07s9rl0"": ""Drama"", ""/m/02qfv5d"": ""Political thriller""}",South Africa,Africa
12667,28307,25805385,/m/09v31h6,White Wedding,2009-04-29,,93.0,"{""/m/0nl8g"": ""Xhosa Language"", ""/m/0x82"": ""Afrikaans Language"", ""/m/0gndv"": ""Zulu Language"", ""/m/02h40lc"": ""English Language""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/01z4y"": ""Comedy"", ""/m/03q4nz"": ""World cinema""}",South Africa,Africa
12779,28542,297010,/m/01rc_m,"11'09""01 September 11",2002-09-05,,134.0,"{""/m/021wr6"": ""French Sign Language"", ""/m/0jzc"": ""Arabic Language"", ""/m/06nm1"": ""Spanish Language"", ""/m/064_8sq"": ""French Language"", ""/m/032f6"": ""Persian Language"", ""/m/03hkp"": ""Hebrew Language"", ""/m/02h40lc"": ""English Language""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/0219x_"": ""Indie"", ""/m/0424mc"": ""Experimental film"", ""/m/07s9rl0"": ""Drama"", ""/m/0k345"": ""Avant-garde"", ""/m/0hj3n1j"": ""Essay Film""}",Egypt,Africa
13267,29581,5581958,/m/0dtp46,Hideous Kinky,1998-10-02,1263279.0,99.0,"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language"", ""/m/02h40lc"": ""English Language""}","{""/m/04xvlr"": ""Period piece"", ""/m/02h8pkk"": ""Family Drama"", ""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie"", ""/m/03k9fj"": ""Adventure""}",Morocco,Africa
13453,30026,1615208,/m/05gtpm,Forgiveness,2004-08-07,,92.0,"{""/m/0x82"": ""Afrikaans Language"", ""/m/02h40lc"": ""English Language""}","{""/m/07s9rl0"": ""Drama""}",South Africa,Africa
13575,30284,14503994,/m/03d5mz6,Le Chaos,2007-11-26,,124.0,"{""/m/0jzc"": ""Arabic Language"", ""/m/034f9_"": ""Egyptian Arabic""}","{""/m/07s9rl0"": ""Drama"", ""/m/02n4lw"": ""Art film"", ""/m/03q4nz"": ""World cinema""}",Egypt,Africa
13907,31014,30206613,/m/0g57kld,678,2010-12-12,,100.0,"{""/m/0jzc"": ""Arabic Language""}","{""/m/07s9rl0"": ""Drama""}",Egypt,Africa
13908,31016,35011304,/m/0gmlphx,"At Night, They Dance",2010-12-02,,81.0,"{""/m/0jzc"": ""Arabic Language""}","{""/m/02p0szs"": ""Historical fiction"", ""/m/0jtdp"": ""Documentary""}",Egypt,Africa
14209,31687,2802926,/m/083p40,Ayam El-Sadat,2001-06-26,,165.0,"{""/m/0jzc"": ""Arabic Language""}","{""/m/03bxz7"": ""Biographical film"", ""/m/07s9rl0"": ""Drama"", ""/m/03hn0"": ""Historical drama""}",Egypt,Africa
14349,31996,25879543,/m/04_smj7,Sayed El Atefy,2005-06-07,,,{},"{""/m/01z4y"": ""Comedy""}",Egypt,Africa
14368,32035,25879929,/m/04_smjy,Captain Hima,2008-08-21,,120.0,"{""/m/0jzc"": ""Arabic Language""}","{""/m/04t36"": ""Musical"", ""/m/01z4y"": ""Comedy""}",Egypt,Africa
14399,32099,7133211,/m/0h5xd2,Catch a Fire,2006-10-27,,97.0,"{""/m/0x82"": ""Afrikaans Language"", ""/m/0gndv"": ""Zulu Language"", ""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/017fp"": ""Biography"", ""/m/03g3w"": ""History"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/02qfv5d"": ""Political thriller"", ""/m/02kdv5l"": ""Action"", ""/m/03mqtr"": ""Political drama""}",South Africa,Africa
14516,32351,18667965,/m/04gmnqc,Samba Traoré,1993-09-10,,85.0,{},"{""/m/07s9rl0"": ""Drama"", ""/m/01t_vv"": ""Comedy-drama""}",Burkina Faso,Africa
14836,33063,35005158,/m/0j675p5,Gerboise bleue,2009-02-11,,90.0,"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language""}","{""/m/0jtdp"": ""Documentary""}",Algeria,Africa
15021,33482,29588452,/m/0fpgc26,Where do we go now?,2011-05-16,,100.0,"{""/m/0jzc"": ""Arabic Language"", ""/m/02h40lc"": ""English Language"", ""/m/06b_j"": ""Russian Language""}","{""/m/05p553"": ""Comedy film"", ""/m/07s9rl0"": ""Drama""}",Egypt,Africa
