0
"(None, 2)"
"(None, None)"
"(None, None)"
"(1, 6)"
"(None, None)"
"(12, 13)"
"(22, 17)"
"(2, 2)"
"(None, None)"
"(2, 2)"
"(None, 1)"
"(None, None)"
"(None, None)"
"(1, 14)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(9, 1)"
"(None, 1)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, 1)"
"(None, None)"
"(1, 1)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, 2)"
"(2, 6)"
"(9, 12)"
"(None, None)"
"(1, 1)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, 1)"
"(None, 1)"
"(None, None)"
"(None, None)"
"(None, None)"
"(1, 3)"
"(None, None)"
"(None, None)"
"(None, None)"
"(65, 31)"
"(None, None)"
"(3, 6)"
"(None, None)"
"(None, None)"
"(9, 10)"
"(None, None)"
"(7, 7)"
"(9, 21)"
"(None, None)"
"(1, 1)"
"(None, None)"
"(1, 1)"
"(None, None)"
"(None, None)"
"(None, None)"
"(6, 5)"
"(None, None)"
"(None, None)"
"(1, 1)"
"(None, 1)"
"(None, None)"
"(1, 3)"
"(None, None)"
"(9, 8)"
"(None, None)"
"(3, 1)"
"(1, 4)"
"(None, None)"
"(None, None)"
"(1, 1)"
"(None, None)"
"(None, None)"
"(None, None)"
"(15, 9)"
"(None, None)"
"(4, 2)"
"(7, 10)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(1, 1)"
"(1, 1)"
"(1, 2)"
"(None, None)"
"(None, None)"
"(5, 1)"
"(None, None)"
"(None, None)"
"(None, None)"
"(3, 6)"
"(None, 1)"
"(4, 11)"
"(None, None)"
"(None, None)"
"(17, 14)"
"(None, None)"
"(None, 3)"
"(None, None)"
"(None, None)"
"(1, 1)"
"(None, None)"
"(None, 5)"
"(1, 1)"
"(None, 2)"
"(8, 3)"
"(None, None)"
"(None, None)"
"(17, 23)"
"(None, None)"
"(2, 12)"
"(None, None)"
"(None, None)"
"(None, 3)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(3, 5)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(1, 1)"
"(None, None)"
"(34, 77)"
"(2, 3)"
"(9, 23)"
"(None, None)"
"(None, None)"
"(3, 19)"
"(1, 1)"
"(None, 1)"
"(None, 2)"
"(6, 8)"
"(None, None)"
"(None, None)"
"(None, None)"
"(1, 1)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, 1)"
"(None, None)"
"(None, None)"
"(None, None)"
"(2, 1)"
"(None, None)"
"(20, 8)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, 7)"
"(None, None)"
"(1, 3)"
"(5, 7)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, 2)"
"(None, None)"
"(None, None)"
"(4, 1)"
"(None, 1)"
"(None, None)"
"(None, None)"
"(2, 2)"
"(None, None)"
"(None, None)"
"(None, 1)"
"(None, 1)"
"(None, None)"
"(4, 4)"
"(None, None)"
"(6, 5)"
"(3, 11)"
"(1, 2)"
"(None, None)"
"(None, None)"
"(None, None)"
"(2, 6)"
"(None, 3)"
"(None, 3)"
"(None, 1)"
"(None, None)"
"(None, 3)"
"(None, None)"
"(1, 1)"
"(2, 2)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(3, 9)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, 3)"
"(1, 7)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, 4)"
"(None, None)"
"(1, 1)"
"(None, 3)"
"(None, 2)"
"(None, None)"
"(None, None)"
"(None, None)"
"(None, None)"
"(2, 13)"
"(None, None)"
"(1, 11)"
